id,nomLatin,famille,type,rendement_actuel,rendement_AI,besoinN_actuel,besoinN_AI,besoinP_actuel,besoinP_AI,besoinK_actuel,besoinK_AI,besoinEau_actuel,besoinEau_AI,densite_actuel,densite_AI,doseSemis_actuel,doseSemis_AI,tauxGermination_actuel,tauxGermination_AI,temperatureGerm_actuel,temperatureGerm_AI,joursLevee_actuel,joursLevee_AI,prixKg_actuel,prixKg_AI,niveau,conservation,description_actuelle,description_AI,sources_AI
Chénopode,,Amaranthaceae,legume,,2.0,,3,,2,,3,,3,4.0,20.0,,NON_TROUVE,,85.0,,15,,10,,15.0,Moyen,False,,Epinard sauvage,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Chénopode vivace,,Amaranthaceae,legume,,2.0,,3,,2,,3,,3,,20.0,,NON_TROUVE,,85.0,,15,,10,,15.0,,False,,Epinard sauvage,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Ciboulette,,Alliaceae,aromatique,,1.5,,2,,2,,2,,3,,20.0,,20,,85.0,,18,,12,,40.0,,False,,Vivace aromatique,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Citronnier,,Rutaceae,arbre_fruitier,,4.0,,4,,3,,4,,4,,0.1,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,6.0,,False,,Agrume,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Cognassier,,Rosaceae,arbre_fruitier,,4.0,,2,,2,,3,,2,,0.1,,0.1,,85.0,,NON_TROUVE,,NON_TROUVE,,5.0,,False,,Fruit à cuire,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Concombre,Cucumis sativus,Cucurbitacées,legume,5.0,8.0,3.0,4,2.0,3,3.0,4,4.0,5,1.4,2.0,0.125,2,10.0,85.0,16-35,22,9.0,5,,3.5,Moyen,False,,Grimpante serre/champ,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Coriandre,,Apiaceae,aromatique,,1.5,7.0,2,3.0,2,9.0,2,3.0,2,25.0,40.0,,40,,85.0,,15,,15,,25.0,Moyen,False,,Graine ou feuille,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Cosmos,,Asteraceae,ornement,,0,,1,,1,,1,,2,8.5,10.0,,NON_TROUVE,,85.0,,18,,10,,0,Facile,False,,Fleur décorative,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Courge,Cucurbita maxima,Cucurbitacées,legume,5.0,5.0,4.0,4,3.0,4,4.0,5,3.0,4,0.75,1.0,0.4,1,5.0,85.0,21-35,20,8.0,7,,2.6,Facile,False,,Coureuse ou buissonnante,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Courge butternut,,Cucurbitacées,legume,3.0,4.0,3.0,4,,4,,5,3.0,4,,1.0,,1,,85.0,,20,,7,,2.61,,,,Musquée,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Courgette,Cucurbita pepo,Cucurbitacées,legume,6.0,6.0,4.0,4,3.0,3,3.0,4,4.0,4,0.8,1.5,0.5,1.5,5.0,85.0,21-35,22,8.0,6,,2.5,Facile,False,,"Non coureuse, productive","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Céleri,Apium graveolens,Apiacées,legume,3.0,4.0,3.0,4,2.0,4,3.0,5,4.0,5,5.0,6.0,0.02,NON_TROUVE,7.0,85.0,16-21,18,15.0,18,,3.8,Difficile,False,,Exigeant en eau,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Echalote,,Alliaceae,legume,1.4,2.0,8.0,2,8.0,2,14.0,3,,1,24.0,20.0,16.0,20,,85.0,,10,,15,,6.5,Moyen,False,,Bulbe condimentaire,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Epinard,,Amaranthaceae,legume,2.0,2.0,9.0,4,4.0,2,14.0,3,,4,50.0,40.0,0.75,40,4.5,85.0,7-24,12,10.0,10,,5.81,Moyen,False,,"Feuille, jours courts","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Feijoa,,Myrtaceae,legume,,3.0,,2,,2,,2,,3,,0.3,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,8.0,,False,,Goyavier du Brésil,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Fenouil,,Apiaceae,legume,2.0,3.0,9.0,3,4.0,3,15.0,4,,4,12.0,8.0,0.5,8,4.0,85.0,12,20,9.0,10,,4.77,Moyen,False,,Bulbe anisé,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Figuier,,Moraceae,arbre_fruitier,,4.0,,2,,2,,3,,2,,0.1,,0.1,,85.0,,NON_TROUVE,,NON_TROUVE,,10.0,,False,,Arbre méditerranéen,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Fraise,,Rosacées,petit_fruit,0.8,1.2,2.0,3,,3,,4,4.0,4,,6.0,,NON_TROUVE,,85.0,,20,,20,,14.0,,,,Petit fruit,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Fraisier,,Rosaceae,petit_fruit,,1.0,,3,,3,,4,,4,,6.0,,6,,85.0,,20,,20,,14.0,,False,,Petit fruit,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Framboise,,Rosacées,petit_fruit,0.5,1.5,2.0,3,,2,,3,3.0,3,,3.0,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,16.0,,,,Rubus idaeus,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Framboisier,,Rosaceae,petit_fruit,,1.2,,3,,2,,3,,3,,3.0,,3,,85.0,,NON_TROUVE,,NON_TROUVE,,16.0,,False,,Remontant ou non,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Frêne,,Oleaceae,legume,,0,,1,,1,,1,,2,,0.01,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,0,,False,,Arbre,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Fève,Vicia faba,Fabacées,legume,1.5,1.5,1.0,1,2.0,2,2.0,3,2.0,2,17.0,15.0,45.0,NON_TROUVE,5.0,85.0,8,10,15.0,10,,6.0,Facile,False,,Légumineuse rustique,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Grenadier,,Lythraceae,legume,,3.0,,2,,2,,3,,2,,0.2,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,7.0,,False,,Fruit rouge,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Groseillier,,Grossulariaceae,petit_fruit,,2.5,,3,,2,,3,,3,,1.0,,1,,85.0,,NON_TROUVE,,NON_TROUVE,,12.0,,False,,Grappes rouges/blanches,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Haricot,,Fabaceae,legume,1.5,1.5,6.0,1,4.0,2,13.0,2,,3,40.0,20.0,10.0,20,3.0,85.0,16-30,20,7.0,7,,8.0,Moyen,False,,Sensible au froid,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Haricot sec,,Fabacées,legume,0.3,1.5,1.0,1,,2,,2,2.0,3,,20.0,,20,,85.0,,20,,7,,8.0,,,,Sensible au froid,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Haricot vert,Phaseolus vulgaris,Fabacées,legume,2.5,1.5,1.0,1,2.0,2,2.0,2,3.0,3,,20.0,,20,,85.0,,20,,7,,8.0,Facile,,,Sensible au froid,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Hibiscus,,Malvaceae,aromatique,,1.0,,2,,2,,3,,3,,1.0,,NON_TROUVE,,85.0,,22,,15,,20.0,,False,,Fleur (Bissap),"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Houblon,,Cannabaceae,aromatique,,1.0,,3,,2,,2,,4,,0.5,,NON_TROUVE,,85.0,,15,,20,,30.0,,False,,Liane à bière,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Kaki-pomme,,Ebenaceae,legume,,5.0,,2,,2,,3,,3,,0.05,,0.05,,85.0,,NON_TROUVE,,NON_TROUVE,,3.0,,False,,Verger,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Kumquat,,Rutaceae,legume,,3.0,,3,,3,,3,,3,,0.2,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,12.0,,False,,Petit agrume,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Laitue,Lactuca sativa,Astéracées,legume,3.0,2.5,3.0,3,2.0,2,2.0,3,3.0,3,13.0,12.0,0.15,12,4.5,85.0,5-27,15,7.0,4,,6.0,Facile,False,,Salade rapide,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Lavande,,Lamiaceae,aromatique,,1.0,,1,,1,,1,,1,,4.0,,4,,85.0,,18,,20,,25.0,,False,,Fleur parfumée,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Mandarinier,,Rutaceae,legume,,4.0,,4,,3,,4,,4,,0.1,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,5.0,,False,,Agrume,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Marjolaine,,Lamiaceae,aromatique,,1.0,,2,,1,,2,,1,,10.0,,10,,85.0,,18,,15,,35.0,,False,,Proche origan,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Maïs,,Poaceae,legume,1.0,1.5,15.0,5,6.0,3,15.0,3,,4,10.0,6.0,4.0,NON_TROUVE,2.0,85.0,16-30,20,13.0,8,,5.0,Moyen,False,,Céréale exigente,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Melon,,Cucurbitaceae,legume,2.5,3.0,11.0,4,7.0,3,16.0,5,,4,1.0,1.0,0.15,1,7.0,85.0,24-35,25,7.0,6,,3.5,Difficile,False,,Exigeant chaleur,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Menthe,,Lamiaceae,aromatique,,2.0,,4,,2,,3,,5,,6.0,,6,,85.0,,20,,15,,30.0,,False,,Envahissante,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Moutarde,,Brassicaceae,engrais_vert,,2.0,8.0,2,4.0,2,11.0,2,2.0,2,,20.0,1.3,20,,85.0,3-5,15,6.0,5,,8.0,Facile,False,,Engrais vert/condiment,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Mâche,,Valerianaceae,legume,1.0,1.5,5.0,2,2.0,2,7.0,2,,2,100.0,50.0,0.6,NON_TROUVE,5.0,85.0,15-20,15,14.0,10,,14.67,Moyen,False,,Salade hiver,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Mélange,,,engrais_vert,,2.0,,2,,2,,2,,2,,5.0,,NON_TROUVE,,85.0,,15,,15,,5.0,,False,,Plante diversifiée,Estimation Générale (Base ITAB) (Ref 2026)
Mélilot,,Fabaceae,engrais_vert,,0,6.0,1,4.0,1,9.0,1,,1,,100.0,1.75,NON_TROUVE,,85.0,5-10,12,8.0,10,,0,Moyen,False,,Engrais vert,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Mélisse,,Lamiaceae,aromatique,,1.5,,3,,2,,2,,3,,6.0,,NON_TROUVE,,85.0,,20,,15,,30.0,,False,,Citronnée,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Mûrier platane,,Moraceae,legume,,0,,2,,2,,2,,2,,0.02,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,0,,False,,Arbre ombrage,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Mûrier sans épine,,Rosaceae,petit_fruit,,3.0,,3,,3,,4,,4,,1.0,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,10.0,,False,,Mûre fruit,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Navet,Brassica rapa,Brassicacées,legume,3.0,3.5,2.0,2,2.0,3,2.0,3,2.0,3,100.0,25.0,0.3,25,4.5,85.0,7-30,18,6.0,5,,4.43,Facile,False,,Racine rapide,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Noisetier,,,arbre_fruitier,,2.5,,2,,1,,2,,2,,0.05,,0.05,,85.0,,NON_TROUVE,,NON_TROUVE,,9.0,,False,,Noisettes,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Noyer,,Juglandaceae,legume,,3.0,,3,,2,,3,,3,,0.01,,0.01,,85.0,,NON_TROUVE,,NON_TROUVE,,9.0,,False,,Grand arbre,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Néflier,,Rosaceae,arbre_fruitier,,2.0,,1,,1,,2,,2,,0.05,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,6.0,,False,,Fruit d'hiver,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Oignon,Allium cepa,Alliacées,legume,4.0,3.5,2.0,3,2.0,3,3.0,4,2.0,2,44.0,30.0,0.4,30,2.0,85.0,10-30,15,23.0,12,,2.5,Facile,False,,Conservation,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Olivier,,Oleaceae,legume,,1.5,,2,,1,,2,,1,,0.03,,0.03,,85.0,,NON_TROUVE,,NON_TROUVE,,10.0,,False,,"Sud, huile/fruit","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Oranger,,Rutaceae,arbre_fruitier,,5.0,,4,,3,,4,,4,,0.1,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,4.0,,False,,Agrume,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Origan,,Lamiaceae,aromatique,,1.0,,1,,1,,1,,1,20.0,6.0,,6,,85.0,,18,,15,,35.0,Facile,False,,Aromatique pizza,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Panais,,Apiaceae,legume,3.0,3.5,8.0,3,5.0,3,16.0,4,,3,25.0,15.0,0.5,15,1.0,85.0,20,15,18.0,20,,3.5,Moyen,False,,Racine sucrée,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Patate douce,,Convolvulaceae,legume,2.0,3.5,10.0,3,6.0,3,18.0,5,,3,3.2,4.0,,4,,85.0,25,25,,NON_TROUVE,,4.0,Difficile,False,,Tubercule tropical,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Persil,Petroselinum crispum,Apiacées,aromatique,0.5,2.0,2.0,3,2.0,2,2.0,3,2.0,4,50.0,30.0,1.0,30,3.0,85.0,16-30,15,20.0,21,,15.0,Facile,False,,Germination lente,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Petit pois,,Fabacées,legume,0.8,1.5,1.0,1,,2,,2,3.0,3,,40.0,,40,,85.0,,12,,9,,8.0,,,,Pois frais,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Phacélie,,Hydrophyllaceae,engrais_vert,,0,5.0,1,4.0,1,8.0,1,2.0,2,,100.0,1.5,NON_TROUVE,,85.0,4-5,12,8.0,10,,0,Moyen,False,,Engrais vert mellifère,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Physalis,,Solanaceae,petit_fruit,1.0,1.5,11.0,3,5.0,3,15.0,4,,3,1.0,2.0,,NON_TROUVE,8.0,85.0,16-30,20,10.0,10,,15.0,Difficile,False,,Coqueret du Pérou,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Plaqueminier,,Ebenaceae,legume,,5.0,,2,,2,,3,,3,,0.05,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,6.0,,False,,Kaki,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Poireau,Allium porrum,Alliacées,legume,4.0,3.5,3.0,5,2.0,3,3.0,4,3.0,4,35.0,25.0,0.17,25,2.0,85.0,13-24,15,15.0,12,,3.0,Moyen,False,,Légume d'hiver,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Poirier,,Rosaceae,legume,,4.0,,2,,2,,3,3.0,3,,0.05,,0.05,,85.0,,NON_TROUVE,,NON_TROUVE,,3.5,,False,,Verger,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Pois,Pisum sativum,Fabacées,legume,1.5,1.5,1.0,1,2.0,2,2.0,2,2.0,3,65.0,40.0,20.0,40,4.0,85.0,5-24,12,10.0,9,,8.0,Facile,False,,Pois frais,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Poivron,Capsicum annuum,Solanacées,legume,4.0,4.0,4.0,4,3.0,3,4.0,5,4.0,4,,3.0,,3,,85.0,,25,,10,,6.0,Difficile,,,Serre recommandée,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Poivron piment,,Solanaceae,legume,5.5,2.5,13.0,4,10.0,3,21.0,5,,4,3.3,4.0,0.075,4,4.0,85.0,18-35,25,13.0,10,,15.0,Moyen,False,,Chaleur indispensable,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Pomme de terre,Solanum tuberosum,Solanacées,legume,4.0,4.5,3.0,3,3.0,3,4.0,5,3.0,3,6.0,5.0,,5,,85.0,,12,,15,,2.5,Facile,False,,Tubercule base,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Pommier,,Rosaceae,legume,,6.0,,2,,2,,3,3.0,3,,0.05,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,3.0,,False,,Verger,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Potimarron,,Cucurbitacées,legume,2.5,5.0,3.0,4,,4,,5,3.0,4,,1.0,,NON_TROUVE,,85.0,,20,,7,,2.74,,,,Courge châtaigne,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Potiron,,Cucurbitaceae,legume,6.0,6.0,12.0,4,8.0,4,23.0,5,,4,0.5,0.5,0.3,0.5,5.0,85.0,16-35,20,10.0,7,,2.5,Facile,False,,Grosse courge,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Prunier,,Rosaceae,legume,,3.5,,2,,2,,3,2.0,3,,0.04,,0.04,,85.0,,NON_TROUVE,,NON_TROUVE,,4.5,,False,,Fruit à noyau,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Pyracantha,,Rosaceae,ornement,,0,,1,,1,,1,,1,,1.0,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,0,,False,,Haie défensive,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Pêcher,,Rosaceae,arbre_fruitier,,3.5,,3,,3,,4,,4,,0.05,,NON_TROUVE,,85.0,,NON_TROUVE,,NON_TROUVE,,5.0,,False,,Fruit fragile,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Radis,Raphanus sativus,Brassicacées,legume,2.0,1.5,2.0,2,2.0,2,2.0,3,2.0,4,125.0,80.0,4.5,80,4.5,85.0,7-32,15,4.0,4,,5.0,Facile,False,,Cycle court,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
